Running 30s test @ https://bench-eth2.netdev-lab.org/100k.bin
  4 threads and 100 connections
  Thread calibration: mean lat.: 24.124ms, rate sampling interval: 69ms
  Thread calibration: mean lat.: 23.632ms, rate sampling interval: 59ms
  Thread calibration: mean lat.: 41.568ms, rate sampling interval: 206ms
  Thread calibration: mean lat.: 24.270ms, rate sampling interval: 65ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    31.21ms   57.64ms 860.67ms   91.73%
    Req/Sec   180.99     43.65   369.00     76.17%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   14.70ms
 75.000%   25.73ms
 90.000%   42.30ms
 99.000%  248.45ms
 99.900%  461.06ms
 99.990%  860.67ms
 99.999%  861.18ms
100.000%  861.18ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.835     0.000000            1         1.00
       5.607     0.100000         1434         1.11
       6.775     0.200000         2861         1.25
       9.095     0.300000         4294         1.43
      11.839     0.400000         5720         1.67
      14.703     0.500000         7148         2.00
      16.111     0.550000         7863         2.22
      17.935     0.600000         8577         2.50
      20.223     0.650000         9298         2.86
      22.879     0.700000        10008         3.33
      25.727     0.750000        10722         4.00
      27.167     0.775000        11081         4.44
      28.687     0.800000        11436         5.00
      30.143     0.825000        11796         5.71
      32.127     0.850000        12151         6.67
      35.135     0.875000        12509         8.00
      37.151     0.887500        12687         8.89
      42.303     0.900000        12867        10.00
      84.735     0.912500        13045        11.43
      97.279     0.925000        13223        13.33
     115.071     0.937500        13402        16.00
     128.191     0.943750        13491        17.78
     167.679     0.950000        13581        20.00
     217.087     0.956250        13670        22.86
     220.031     0.962500        13762        26.67
     224.255     0.968750        13850        32.00
     226.559     0.971875        13894        35.56
     229.375     0.975000        13940        40.00
     232.319     0.978125        13984        45.71
     235.775     0.981250        14027        53.33
     239.359     0.984375        14072        64.00
     241.663     0.985938        14095        71.11
     243.199     0.987500        14117        80.00
     246.271     0.989062        14139        91.43
     249.727     0.990625        14161       106.67
     259.967     0.992188        14184       128.00
     269.311     0.992969        14195       142.22
     298.751     0.993750        14206       160.00
     311.551     0.994531        14217       182.86
     321.279     0.995313        14228       213.33
     337.919     0.996094        14240       256.00
     347.903     0.996484        14245       284.44
     390.399     0.996875        14251       320.00
     414.463     0.997266        14256       365.71
     440.575     0.997656        14262       426.67
     446.719     0.998047        14268       512.00
     449.279     0.998242        14270       568.89
     454.399     0.998437        14274       640.00
     455.935     0.998633        14276       731.43
     459.263     0.998828        14279       853.33
     467.199     0.999023        14282      1024.00
     497.919     0.999121        14283      1137.78
     510.975     0.999219        14284      1280.00
     591.359     0.999316        14286      1462.86
     593.919     0.999414        14287      1706.67
     723.967     0.999512        14289      2048.00
     723.967     0.999561        14289      2275.56
     726.527     0.999609        14291      2560.00
     726.527     0.999658        14291      2925.71
     726.527     0.999707        14291      3413.33
     782.847     0.999756        14292      4096.00
     782.847     0.999780        14292      4551.11
     859.135     0.999805        14293      5120.00
     859.135     0.999829        14293      5851.43
     859.135     0.999854        14293      6826.67
     860.671     0.999878        14294      8192.00
     860.671     0.999890        14294      9102.22
     860.671     0.999902        14294     10240.00
     860.671     0.999915        14294     11702.86
     860.671     0.999927        14294     13653.33
     861.183     0.999939        14295     16384.00
     861.183     1.000000        14295          inf
#[Mean    =       31.208, StdDeviation   =       57.641]
#[Max     =      860.672, Total count    =        14295]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  21387 requests in 30.03s, 2.04GB read
Requests/sec:    712.12
Transfer/sec:     69.72MB
