Running 30s test @ https://bench-eth2.netdev-lab.org/100k.bin
  4 threads and 100 connections
  Thread calibration: mean lat.: 21.752ms, rate sampling interval: 43ms
  Thread calibration: mean lat.: 22.286ms, rate sampling interval: 53ms
  Thread calibration: mean lat.: 20.788ms, rate sampling interval: 32ms
  Thread calibration: mean lat.: 24.258ms, rate sampling interval: 69ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    23.63ms   53.11ms 519.68ms   90.97%
    Req/Sec   181.39     45.05   406.00     73.54%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    8.44ms
 75.000%   11.63ms
 90.000%   19.60ms
 99.000%  227.84ms
 99.900%  436.48ms
 99.990%  478.72ms
 99.999%  519.93ms
100.000%  519.93ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.647     0.000000            1         1.00
       5.259     0.100000         1435         1.11
       6.067     0.200000         2866         1.25
       6.839     0.300000         4295         1.43
       7.567     0.400000         5721         1.67
       8.439     0.500000         7146         2.00
       8.943     0.550000         7873         2.22
       9.479     0.600000         8576         2.50
      10.095     0.650000         9292         2.86
      10.815     0.700000        10010         3.33
      11.631     0.750000        10723         4.00
      12.151     0.775000        11082         4.44
      12.735     0.800000        11436         5.00
      13.327     0.825000        11794         5.71
      14.255     0.850000        12153         6.67
      15.527     0.875000        12507         8.00
      16.703     0.887500        12685         8.89
      19.599     0.900000        12863        10.00
      81.343     0.912500        13042        11.43
      88.127     0.925000        13221        13.33
      94.911     0.937500        13401        16.00
     100.863     0.943750        13489        17.78
     173.439     0.950000        13579        20.00
     214.911     0.956250        13668        22.86
     217.343     0.962500        13758        26.67
     218.495     0.968750        13849        32.00
     219.135     0.971875        13891        35.56
     220.287     0.975000        13937        40.00
     221.439     0.978125        13982        45.71
     222.463     0.981250        14033        53.33
     223.615     0.984375        14069        64.00
     224.767     0.985938        14092        71.11
     226.047     0.987500        14116        80.00
     226.943     0.989062        14136        91.43
     228.351     0.990625        14159       106.67
     230.911     0.992188        14181       128.00
     235.775     0.992969        14192       142.22
     297.471     0.993750        14203       160.00
     301.311     0.994531        14214       182.86
     305.407     0.995313        14228       213.33
     311.551     0.996094        14238       256.00
     313.599     0.996484        14242       284.44
     318.463     0.996875        14248       320.00
     323.839     0.997266        14253       365.71
     353.791     0.997656        14259       426.67
     432.383     0.998047        14266       512.00
     432.895     0.998242        14267       568.89
     433.663     0.998437        14270       640.00
     434.943     0.998633        14274       731.43
     435.967     0.998828        14276       853.33
     436.735     0.999023        14280      1024.00
     436.735     0.999121        14280      1137.78
     436.991     0.999219        14281      1280.00
     439.807     0.999316        14284      1462.86
     439.807     0.999414        14284      1706.67
     440.063     0.999512        14286      2048.00
     440.063     0.999561        14286      2275.56
     442.623     0.999609        14287      2560.00
     444.927     0.999658        14288      2925.71
     444.927     0.999707        14288      3413.33
     447.231     0.999756        14289      4096.00
     447.231     0.999780        14289      4551.11
     447.999     0.999805        14290      5120.00
     447.999     0.999829        14290      5851.43
     447.999     0.999854        14290      6826.67
     478.719     0.999878        14291      8192.00
     478.719     0.999890        14291      9102.22
     478.719     0.999902        14291     10240.00
     478.719     0.999915        14291     11702.86
     478.719     0.999927        14291     13653.33
     519.935     0.999939        14292     16384.00
     519.935     1.000000        14292          inf
#[Mean    =       23.633, StdDeviation   =       53.109]
#[Max     =      519.680, Total count    =        14292]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  21583 requests in 30.01s, 2.06GB read
Requests/sec:    719.25
Transfer/sec:     70.42MB
