Running 30s test @ https://bench-eth2.netdev-lab.org/300k.bin
  4 threads and 100 connections
  Thread calibration: mean lat.: 41.808ms, rate sampling interval: 131ms
  Thread calibration: mean lat.: 46.684ms, rate sampling interval: 133ms
  Thread calibration: mean lat.: 138.530ms, rate sampling interval: 356ms
  Thread calibration: mean lat.: 115.402ms, rate sampling interval: 296ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    82.01ms   40.35ms 199.55ms   60.96%
    Req/Sec    67.08     55.37   187.00     57.35%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   72.89ms
 75.000%  116.61ms
 90.000%  136.96ms
 99.000%  160.64ms
 99.900%  175.62ms
 99.990%  188.80ms
 99.999%  199.68ms
100.000%  199.68ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      11.439     0.000000            1         1.00
      29.951     0.100000          534         1.11
      43.519     0.200000         1068         1.25
      53.119     0.300000         1602         1.43
      59.615     0.400000         2136         1.67
      72.895     0.500000         2668         2.00
      93.567     0.550000         2935         2.22
     100.287     0.600000         3203         2.50
     105.919     0.650000         3469         2.86
     111.423     0.700000         3737         3.33
     116.607     0.750000         4003         4.00
     119.551     0.775000         4137         4.44
     122.239     0.800000         4269         5.00
     126.335     0.825000         4405         5.71
     129.663     0.850000         4539         6.67
     133.503     0.875000         4670         8.00
     135.295     0.887500         4742         8.89
     136.959     0.900000         4806        10.00
     138.495     0.912500         4873        11.43
     140.287     0.925000         4937        13.33
     142.719     0.937500         5007        16.00
     143.743     0.943750         5040        17.78
     144.639     0.950000         5071        20.00
     145.791     0.956250         5103        22.86
     147.071     0.962500         5136        26.67
     148.735     0.968750         5170        32.00
     149.759     0.971875         5186        35.56
     151.039     0.975000         5204        40.00
     152.191     0.978125         5221        45.71
     153.599     0.981250         5236        53.33
     156.671     0.984375         5253        64.00
     157.055     0.985938         5262        71.11
     157.951     0.987500         5270        80.00
     159.615     0.989062         5278        91.43
     161.407     0.990625         5286       106.67
     163.583     0.992188         5295       128.00
     165.631     0.992969         5300       142.22
     166.655     0.993750         5303       160.00
     166.911     0.994531         5307       182.86
     168.319     0.995313         5311       213.33
     170.623     0.996094         5316       256.00
     171.647     0.996484         5318       284.44
     171.903     0.996875         5320       320.00
     172.159     0.997266         5322       365.71
     172.415     0.997656         5324       426.67
     172.671     0.998047         5327       512.00
     172.671     0.998242         5327       568.89
     173.183     0.998437         5329       640.00
     173.183     0.998633         5329       731.43
     175.359     0.998828         5330       853.33
     175.615     0.999023         5331      1024.00
     183.167     0.999121         5332      1137.78
     183.167     0.999219         5332      1280.00
     186.495     0.999316         5333      1462.86
     186.495     0.999414         5333      1706.67
     187.775     0.999512         5334      2048.00
     187.775     0.999561         5334      2275.56
     187.775     0.999609         5334      2560.00
     188.799     0.999658         5335      2925.71
     188.799     0.999707         5335      3413.33
     188.799     0.999756         5335      4096.00
     188.799     0.999780         5335      4551.11
     188.799     0.999805         5335      5120.00
     199.679     0.999829         5336      5851.43
     199.679     1.000000         5336          inf
#[Mean    =       82.008, StdDeviation   =       40.346]
#[Max     =      199.552, Total count    =         5336]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  7971 requests in 30.02s, 2.29GB read
Requests/sec:    265.52
Transfer/sec:     78.10MB
