Running 30s test @ https://bench-eth2.netdev-lab.org/300k.bin
  4 threads and 100 connections
  Thread calibration: mean lat.: 43.863ms, rate sampling interval: 139ms
  Thread calibration: mean lat.: 48.061ms, rate sampling interval: 143ms
  Thread calibration: mean lat.: 125.118ms, rate sampling interval: 301ms
  Thread calibration: mean lat.: 119.157ms, rate sampling interval: 299ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    81.15ms   39.94ms 293.12ms   61.30%
    Req/Sec    67.12     51.64   179.00     58.74%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   73.66ms
 75.000%  115.97ms
 90.000%  136.45ms
 99.000%  157.18ms
 99.900%  176.26ms
 99.990%  192.38ms
 99.999%  293.38ms
100.000%  293.38ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       8.903     0.000000            1         1.00
      33.375     0.100000          534         1.11
      43.647     0.200000         1067         1.25
      51.199     0.300000         1601         1.43
      55.519     0.400000         2138         1.67
      73.663     0.500000         2669         2.00
      91.455     0.550000         2934         2.22
      98.431     0.600000         3202         2.50
     104.959     0.650000         3468         2.86
     110.015     0.700000         3735         3.33
     115.967     0.750000         4003         4.00
     119.615     0.775000         4136         4.44
     122.623     0.800000         4267         5.00
     126.015     0.825000         4401         5.71
     129.471     0.850000         4535         6.67
     133.247     0.875000         4669         8.00
     134.911     0.887500         4735         8.89
     136.447     0.900000         4802        10.00
     138.111     0.912500         4872        11.43
     139.775     0.925000         4937        13.33
     141.439     0.937500         5002        16.00
     142.847     0.943750         5043        17.78
     143.487     0.950000         5067        20.00
     144.639     0.956250         5102        22.86
     146.303     0.962500         5135        26.67
     147.583     0.968750         5170        32.00
     148.863     0.971875         5186        35.56
     150.015     0.975000         5204        40.00
     150.527     0.978125         5217        45.71
     151.807     0.981250         5235        53.33
     153.599     0.984375         5250        64.00
     154.495     0.985938         5259        71.11
     155.519     0.987500         5267        80.00
     156.799     0.989062         5277        91.43
     157.951     0.990625         5285       106.67
     160.127     0.992188         5292       128.00
     160.895     0.992969         5297       142.22
     161.663     0.993750         5300       160.00
     162.303     0.994531         5304       182.86
     164.223     0.995313         5309       213.33
     164.991     0.996094         5314       256.00
     165.119     0.996484         5315       284.44
     165.503     0.996875         5317       320.00
     166.015     0.997266         5319       365.71
     167.167     0.997656         5321       426.67
     168.063     0.998047         5323       512.00
     168.319     0.998242         5324       568.89
     169.471     0.998437         5325       640.00
     170.239     0.998633         5326       731.43
     171.647     0.998828         5327       853.33
     176.255     0.999023         5328      1024.00
     176.383     0.999121         5329      1137.78
     176.383     0.999219         5329      1280.00
     179.327     0.999316         5330      1462.86
     179.327     0.999414         5330      1706.67
     179.455     0.999512         5331      2048.00
     179.455     0.999561         5331      2275.56
     179.455     0.999609         5331      2560.00
     192.383     0.999658         5332      2925.71
     192.383     0.999707         5332      3413.33
     192.383     0.999756         5332      4096.00
     192.383     0.999780         5332      4551.11
     192.383     0.999805         5332      5120.00
     293.375     0.999829         5333      5851.43
     293.375     1.000000         5333          inf
#[Mean    =       81.155, StdDeviation   =       39.937]
#[Max     =      293.120, Total count    =         5333]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  7968 requests in 30.02s, 2.29GB read
Requests/sec:    265.45
Transfer/sec:     78.10MB
